"0008-0070-MANUFACTURER","0018-0050-SLICETHICKNESS","0018-0060-KVP","0018-1120-GANTRYDETECTORTILT","0018-1151-XRAYTUBECURRENT","0018-1152-EXPOSURE","0018-1160-FILTERTYPE","0018-1170-GENERATORPOWER","0018-1210-CONVOLUTIONKERNEL","0018-5100-PATIENTPOSITION","0020-0032-IMAGEPOSITIONPATIENT","0020-1041-SLICELOCATION","0028-0030-PIXELSPACING"
"SIEMENS","5","120","0","134","382","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -516.7","-516.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -514.2","-514.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -511.7","-511.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -509.2","-509.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -506.7","-506.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -504.2","-504.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -501.7","-501.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -499.2","-499.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","134","382","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -496.7","-496.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -494.2","-494.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -491.7","-491.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -489.2","-489.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -486.7","-486.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","132","377","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -484.2","-484.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -481.7","-481.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -479.2","-479.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -476.7","-476.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -474.2","-474.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -471.7","-471.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -469.2","-469.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -466.7","-466.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","133","380","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -464.2","-464.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","134","382","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -461.7","-461.7","0.44921875 0.44921875"
