"0008-0070-MANUFACTURER","0018-0050-SLICETHICKNESS","0018-0060-KVP","0018-1120-GANTRYDETECTORTILT","0018-1151-XRAYTUBECURRENT","0018-1152-EXPOSURE","0018-1160-FILTERTYPE","0018-1170-GENERATORPOWER","0018-1210-CONVOLUTIONKERNEL","0018-5100-PATIENTPOSITION","0020-0032-IMAGEPOSITIONPATIENT","0020-1041-SLICELOCATION","0028-0030-PIXELSPACING"
"SIEMENS","5.000000","120","0","134","382","FLAT","16","J40s","HFS","-114.775391 -322.775391 -519.200012","-519.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","134","382","FLAT","16","J40s","HFS","-114.775391 -322.775391 -516.700012","-516.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -514.200012","-514.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -511.700012","-511.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -509.200012","-509.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -506.700012","-506.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -504.200012","-504.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -501.700012","-501.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -499.200012","-499.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","134","382","FLAT","16","J40s","HFS","-114.775391 -322.775391 -496.700012","-496.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -494.200012","-494.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -491.700012","-491.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -489.200012","-489.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -486.700012","-486.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","132","377","FLAT","16","J40s","HFS","-114.775391 -322.775391 -484.200012","-484.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -481.700012","-481.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -479.200012","-479.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -476.700012","-476.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -474.200012","-474.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -471.700012","-471.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -469.200012","-469.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -466.700012","-466.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","133","380","FLAT","16","J40s","HFS","-114.775391 -322.775391 -464.200012","-464.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","134","382","FLAT","16","J40s","HFS","-114.775391 -322.775391 -461.700012","-461.700012","0.449219 0.449219"
